,0
0,林家台
1,武隆
2,大安
3,泉州东
4,海石湾
5,冕宁
6,诸城
7,腰栈
8,嘉峪关
9,建瓯西
10,土贵乌拉
11,昌图
12,驼腰岭
13,葫芦岛北
14,阳澄湖
15,侯马西
16,尚家
17,东城南
18,通远堡西
19,南阳寨
20,新场
21,伊通
22,兰州东
23,五女山
24,营盘湾
25,绩溪北
26,四平东
27,桥湾
28,靖州
29,温岭
30,五台山
31,河唇
32,桐梓北
33,迎祥街
34,加格达奇
35,疏勒河
36,鸡东
37,闻喜西
38,邵阳
39,水家湖
40,睢宁
41,长春
42,庄桥
43,金华南
44,宜城
45,漫水湾
46,晋城
47,山市
48,烟台
49,南昌
50,苏集
51,田东北
52,南部
53,新友谊
54,迤资
55,桂平
56,潞城
57,小东
58,绿化
59,青水山
60,莒南北
61,古城子
62,草河口
63,咸阳
64,亳州
65,苇子沟
66,牛心台
67,东海县
68,祁县
69,天棚
70,慈利
71,甘泉
72,聊城
73,前窑
74,镇安
75,利川
76,德惠西
77,魏杖子
78,九营
79,甸心
80,彭山北
81,左家
82,电白
83,五莲
84,张百湾
85,青山
86,新平坝
87,阳信
88,上饶
89,重庆北
90,萧县
91,超梁沟
92,锦界
93,开平南
94,大雅河
95,张家界西
96,虎门东
97,仙水
98,额济纳
99,滴道
100,宝清
101,高谷
102,滁州
103,新民
104,沧州西
105,庐山
106,中和
107,黄河景区
108,九台南
109,青岛
110,四家子
111,劲松
112,大兴机场
113,南朗
114,涉县
115,和硕
116,海龙
117,璧山
118,红寺堡
119,潘家店
120,黑台
121,渑池
122,万年
123,成都南
124,临汾
125,城西
126,淮北北
127,芨岭
128,汾河
129,永嘉
130,城子坦
131,红峰
132,敖汉
133,营北
134,宜春西
135,珠海北
136,涞源
137,大兴
138,木里图
139,蕉溪
140,渭南北
141,迎春
142,高密
143,惠州南
144,六个鸡
145,南观村
146,佳木斯西
147,绥德
148,高邑
149,祥云
150,包头北
151,济南东
152,丹凤
153,中川机场
154,卫辉
155,临河
156,宣汉
157,元谋
158,崇信
159,高头
160,潮州
161,酒泉南
162,墨玉
163,白芨沟
164,王岗
165,宜良北
166,柳毛沟
167,大口钦
168,饶平
169,温春
170,周水子
171,小月旧
172,临高南
173,徐水
174,深圳
175,同心
176,北舍
177,拉萨
178,康城
179,宿州东
180,酉阳
181,襄河
182,女儿河
183,龙华
184,辉河
185,对青山
186,定陶
187,二道沟门
188,峻德
189,闵集
190,南江
191,马鞍山东
192,平阳
193,日照
194,夏官营
195,凯北
196,新固镇
197,官高
198,西武匠
199,三水北
200,文地
201,红寺堡北
202,姜堰
203,昌乐
204,宁村
205,柳沟
206,瓦窑坝
207,辛集
208,红兴隆
209,羊尾哨
210,太阳沟
211,镇江南
212,黄村
213,氡泉
214,西六方
215,青县
216,黄陵南
217,哈尔巴岭
218,开鲁
219,影壁山
220,玉溪
221,四平
222,德令哈
223,马皇
224,亚龙湾
225,威信
226,张三营
227,大陆号
228,徽县
229,景泰
230,柳树屯
231,杏树屯
232,富海
233,齐齐哈尔南
234,靖宇
235,东莞西
236,桃源
237,合阳
238,应城
239,高楞
240,康庄
241,天岗
242,西昌南
243,千阳
244,南堡北
245,濮阳
246,南口前
247,端州
248,常平东
249,铜仁南
250,巢湖东
251,大荔北
252,郭磊庄
253,道州
254,老羊壕
255,龙岩
256,东戴河
257,双峰北
258,丹霞山
259,沈阳北
260,赶水东
261,王场
262,世博园
263,龙嘉
264,明水河
265,分宜
266,洮南
267,眉山
268,商都
269,宜宾西
270,永泰
271,五道河
272,葛根庙
273,天镇
274,东安东
275,克东
276,古田北
277,麻尾
278,大盘石
279,临江
280,阿木尔
281,甲山
282,将乐
283,盖州
284,陵城
285,三江
286,会昌北
287,平凉南
288,零陵
289,滨海
290,楚山
291,丽江
292,甲猫
293,盐城北
294,福鼎
295,东明村
296,扶余
297,容桂
298,古北口
299,华蓥
300,松岭
301,虎门
302,八仙筒
303,汝州
304,新天
305,九台
306,恩平
307,章古台
308,徘徊北
309,汾阳
310,长安西
311,下花园
312,铁厂
313,五十家子
314,郑州
315,石林
316,昌图西
317,德昌
318,张家川
319,正定
320,成吉思汗
321,原林
322,沙湾县
323,涿州东
324,宁波
325,小河沿
326,承德县北
327,准东
328,汇流河
329,镇赉
330,七苏木
331,玉舍
332,吉水西
333,洛湾三江
334,咸宁南
335,襄汾
336,蒲城
337,公主岭
338,扎兰屯
339,叶柏寿
340,铁岭西
341,安口窑
342,师庄
343,广州西
344,张维屯
345,新晃
346,江桥
347,安图
348,石门村
